Name,Discount,Tag,Original_Price,Discount_Price,Deadline
Scribblenauts Mega Pack,-75%,Matches previous low,$39.99,$9.99,Sale ends November 2
SAINTS ROW: THE THIRD - THE FULL PACKAGE,-25%,[],$39.99,$29.99,[]
Wide Ocean Big Jacket,-60%,Matches previous low,$7.99,$3.19,Sale ends November 1
Saints Row IV: Re-Elected,-30%,[],$39.99,$27.99,[]
LEGO Worlds,-70%,[],$29.99,$8.99,Sale ends November 2
The Office Quest,-70%,[],$11.99,$3.59,Sale ends November 5
Stranded Sails - Explorers of the Cursed Islands,-20%,[],$24.99,$19.99,[]
Braveland Trilogy,-75%,Matches previous low,$14.99,$3.74,Sale ends November 9
Outlast 2,-75%,Matches previous low,$29.99,$7.49,Sale ends November 7
Heaven Dust,-30%,Matches previous low,$7.99,$5.59,Sale ends in 23 hours
Call of Juarez: Gunslinger,-40%,[],$19.99,$11.99,Sale ends November 3
Darksiders Warmastered Edition,-50%,[],$29.99,$14.99,Sale ends November 5
Gear.Club Unlimited 2,-23%,[],$39.99,$30.63,[]
Ellen,-75%,Matches previous low,$7.99,$1.99,"Sale is already over, but Deku Deals hasn't updated the price yet. Sorry!"
Mortal Kombat 11 Kombat Pack 1,-50%,Matches previous low,$19.99,$9.99,Sale ends November 2
Depixtion,-75%,Lowest price ever,$7.99,$1.99,Sale ends November 15
New Super Mario Bros. U Deluxe,-33%,Matches previous low,$59.99,$39.99,[]
Battle Worlds: Kronos,-17%,[],$29.99,$24.99,[]
Neon City Riders,-30%,Lowest price ever,$19.99,$13.99,Sale ends November 3
Joy-Con (L/R) – Neon Red/Neon Blue,-14%,[],$79.99,$69.00,[]
Zenith,-50%,Matches previous low,$14.99,$7.49,Sale ends November 1
WARRIORS OROCHI 4 Ultimate,-50%,Lowest price ever,$59.99,$29.99,[]
Battle Princess Madelyn Royal Edition,-75%,Lowest price ever,$14.99,$3.74,Sale ends November 9
Jeopardy!,-60%,Matches previous low,$19.99,$7.99,Sale ends November 1
Trailblazers,-80%,Lowest price ever,$29.99,$5.99,Sale ends November 1
The Red Lantern,-20%,Lowest price ever,$24.99,$19.99,Sale ends in 23 hours
Peaky Blinders: Mastermind,-33%,Lowest price ever,$24.99,$16.74,"Sale is already over, but Deku Deals hasn't updated the price yet. Sorry!"
Agent A: A puzzle in disguise,-90%,[],$19.99,$1.99,Sale ends November 13
Neverwinter Nights: Enhanced Edition,-60%,Lowest price ever,$49.99,$19.99,[]
Tokyo Mirage Sessions #FE Encore,-33%,Matches previous low,$59.99,$39.99,[]
Donkey Kong Country: Tropical Freeze,-25%,[],$59.99,$44.99,[]
