Felix The Reaper,"['Adventure, Puzzle']",['Daedalic'],['4.313 GB'],"['October 17, 2019']",67,7.1,"['Japanese, Portuguese, English, Spanish, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$2.49', '-90%']}"
PowerA Joy-Con & Pro Controller Charging Dock,[],[],[],"['December 31, 2017']",[],[],[],[],"{'Amazon.com': ['Physical', '$24.99', '-17%']}"
Dragon Quest Builders,"['Role-Playing, Adventure, Action, Simulation']",['Nintendo'],['816 MB'],"['NA/EU', 'February  9, 2018JP', 'March  1, 2018']",81,8.0,"['English, Spanish, French, German, Italian']","['TV, Tabletop, Handheld']","{'Amazon.com': ['Digital Download', '$39.99', '-20%']}"
BioShock: The Collection,"['First-Person, Action']",['Take-Two Interactive'],['12.557 GB'],"['May 29, 2020']",84,8.7,"['Japanese, English, Spanish, French, German, Italian, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Amazon.com': ['Physical', '$29.83', '-40%'], 'Walmart': ['Physical', '$29.83', '-40%'], 'Best Buy': ['Physical', '$29.99', '-40%'], 'GameStop': ['Physical', '$29.99', '-40%'], 'Target': ['Physical', '$29.99', '-40%']}"
Party Golf,"['Sports, Arcade']",['Giant Margarita'],['1.247 GB'],"['October 19, 2017']",tbd,7.4,"['English, Spanish, French, German']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$1.99', '-87%']}"
FighterZ Pass,[],['BANDAI NAMCO Entertainment'],['32 MB'],"['September 28, 2018']",[],[],[],[],"{'Walmart': ['Digital Download', '$28.99', '-17%']}"
1979 Revolution: Black Friday,['Adventure'],['Digerati'],['4.161 GB'],"['August  2, 2018']",77,7.6,"['English, Spanish, French, German, Russian']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$3.59', '-70%']}"
NAMCO MUSEUM ARCHIVES Vol 2,['Arcade'],['BANDAI NAMCO Entertainment'],['63 MB'],"['June 18, 2020']",67,tbd,"['Japanese, English']","['TV, Tabletop, Handheld']","{'GameStop': ['Digital Download', '$17.99', '-10%']}"
CAN ANDROIDS PRAY:BLUE,"['Adventure, Role-Playing']",['Apriori Digital'],['394 MB'],"['April 16, 2020']",72,tbd,['English'],"['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$2.09', '-70%']}"
Pic-a-Pix Deluxe,"['Puzzle, Multiplayer, Party, Education']",['Lightwood Games'],['80 MB'],"['NA/EU', 'January  4, 2018JP', 'January 11, 2018']",78,7.9,"['English, Spanish, French, German']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$3.99', '-50%']}"
Legends of Amberland: The Forgotten Crown,"['Role-Playing, Adventure']",['Pineapple Works'],['139 MB'],"['April 20, 2020']",tbd,tbd,"['English, Portuguese, Spanish, French, German, Russian']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$13.99', '-30%']}"
Blair Witch,"['Adventure, Indie']",['Bloober Team'],['7.03 GB'],"['NA/EU', 'June 25, 2020JP', 'July  9, 2020']",59,6.8,"['Portuguese, English, Spanish, French, German, Italian, Russian']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$14.99', '-50%']}"
Child of Light Ultimate Edition,"['Platformer, Role-Playing, Adventure, Strategy']",['Ubisoft'],['2.157 GB'],"['October 11, 2018']",84,8.4,"['Japanese, English, Spanish, French, German, Italian, Portuguese, Russian, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$4.99', '-75%']}"
STAR WARS Episode I Racer,['Racing'],['Aspyr'],['256 MB'],"['June 23, 2020']",70,7.1,"['Japanese, English, Spanish, French, German, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$7.49', '-50%']}"
The Outer Worlds,"['Role-Playing, First-Person, Action, Adventure']",['Private Division'],['14.712 GB'],"['June  5, 2020']",66,5.2,"['Japanese, English, Portuguese, Spanish, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Amazon.com': ['Digital Download', '$34.99', '-42%']}"
Giana Sisters: Twisted Dreams - Owltimate Edition,"['Platformer, Action, Arcade']",['HandyGames'],['1.269 GB'],"['NA', 'September 28, 2018EU', 'November 21, 2018JP', 'December 27, 2018']",74,7.8,"['Japanese, English, Spanish, French, German, Italian, Portuguese, Russian, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Walmart': ['Physical', '$18.75', '-37%']}"
Oddworld: New 'n' Tasty,"['Platformer, Puzzle, Action']",['Oddworld Inhabitants'],['2.843 GB'],"['October 27, 2020']",[],[],"['Japanese, English, Spanish, French, Portuguese, German, Italian']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$19.99', '-33%']}"
Yuppie Psycho: Executive Edition,['Adventure'],['Another Indie Studio'],['1.392 GB'],"['October 29, 2020']",[],[],"['Japanese, English, Spanish, French, Portuguese, German, Russian, Korean, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$14.99', '-10%']}"
Observer,['Adventure'],['Bloober Team'],['18.033 GB'],"['NA/EU', 'February  7, 2019JP', 'September  3, 2020']",75,7.5,"['English, Spanish, French, German, Italian, Portuguese, Russian']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$8.99', '-70%']}"
Hypnospace Outlaw,"['Puzzle, Simulation, Role-Playing, Indie']",['No More Robots'],['815 MB'],"['August 27, 2020']",84,6.8,['English'],"['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$14.99', '-25%']}"
Lonely Mountains: Downhill,"['Racing, Sports, Simulation, Arcade']",['Thunderful'],['1.091 GB'],"['May  7, 2020']",84,7.2,"['Japanese, English, Portuguese, Spanish, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$14.99', '-25%']}"
New Super Lucky's Tale,"['Adventure, Platformer, Action, Arcade']",['Playful'],['7.604 GB'],"['November  8, 2019']",76,8.1,"['Japanese, English, Spanish, French, Portuguese, German, Italian']","['TV, Tabletop, Handheld']","{'Amazon.com': ['Physical', '$35.99', '-10%'], 'Best Buy': ['Physical', '$35.99', '-10%']}"
Mario & Sonic at the Olympic Games Tokyo 2020,"['Sports, Party, Multiplayer, Action']",['Sega'],['6.42 GB'],"['NA/JP', 'November  5, 2019EU', 'November  8, 2019']",69,7.0,"['English, Spanish, French, German, Italian, Dutch, Russian']","['TV, Tabletop, Handheld']","{'Amazon.com': ['Physical', '$49.99', '-17%'], 'Best Buy': ['Physical', '$49.99', '-17%']}"
Zumba Burn It Up!,"['Lifestyle, Party, Music']",['505 Games'],['6.698 GB'],"['NA', 'November 19, 2019EU', 'November 21, 2019JP', 'June 18, 2020']",69,5.0,"['Japanese, English, Spanish, Portuguese, French, German, Italian, Russian, Korean, Chinese (Simplified), Chinese (Traditional)']","['TV, Tabletop']","{'Walmart': ['Physical', '$27.23', '-32%']}"
Umihara Kawase Fresh!,"['Adventure, Platformer, Action']",['Nicalis'],['2.123 GB'],"['July 18, 2019']",tbd,6.4,"['English, Chinese (Traditional)']","['TV, Tabletop, Handheld']","{'Walmart': ['Physical', '$34.52', '-14%']}"
Puyo Puyo Tetris,['Puzzle'],['Sega'],['1.077 GB'],"['NA/JP', 'April 24, 2017EU', 'April 27, 2017']",81,8.1,['English'],"['TV, Tabletop, Handheld']","{'Best Buy': ['Physical', '$19.99', '-33%']}"
Super Chariot,"['Platformer, Adventure, Action']",['Microids'],['701 MB'],"['NA/EU', 'May 10, 2018JP', 'July  5, 2018']",76,7.8,"['English, Spanish, French, German, Italian, Russian']","['TV, Tabletop, Handheld']","{'Nintendo eShop': ['Digital Download', '$1.49', '-90%']}"
