Name,Discount,Tag,Original_Price,Discount_Price,Deadline
Slay the Spire,-20%,[],$24.99,$19.99,[]
Animal Crossing: New Horizons,-17%,Matches previous low,$59.99,$49.94,[]
Trailblazers,-80%,Lowest price ever,$29.99,$5.99,Sale ends November 1
Ice Age Scrat's Nutty Adventure!,-50%,Matches previous low,$39.99,$19.93,[]
Langrisser I & II,-26%,[],$49.99,$36.97,[]
Holy Potatoes! We're In Space?!,-70%,Lowest price ever,$14.99,$4.49,Sale ends November 1
LEGO Worlds,-70%,[],$29.99,$8.99,Sale ends November 2
LEGO Jurassic World,-70%,Matches previous low,$39.99,$11.99,Sale ends November 2
She and the Light Bearer,-50%,Matches previous low,$9.99,$4.99,Sale ends November 8
Super Tennis Blast,-30%,[],$14.99,$10.49,Sale ends in 23 hours
Fury Unleashed,-50%,Matches previous low,$19.99,$9.99,Sale ends November 13
Felix The Reaper,-90%,Lowest price ever,$24.99,$2.49,Sale ends November 11
NAMCO MUSEUM ARCADE PAC,-25%,[],$39.99,$29.99,[]
Jeopardy!,-60%,Matches previous low,$19.99,$7.99,Sale ends November 1
NBA 2K20,-50%,[],$59.99,$29.83,[]
Troll and I,-47%,[],$29.99,$15.99,[]
TT Isle of Man,-20%,[],$49.99,$39.99,[]
Wide Ocean Big Jacket,-60%,Matches previous low,$7.99,$3.19,Sale ends November 1
The Bunker,-50%,Matches previous low,$12.99,$6.49,Sale ends November 5
Depixtion,-75%,Lowest price ever,$7.99,$1.99,Sale ends November 15
Demon's Crystals,-67%,Lowest price ever,$14.99,$4.94,Sale ends November 1
Syberia 2,-95%,Matches previous low,$29.99,$1.49,Sale ends November 4
What Remains of Edith Finch,-50%,[],$19.99,$9.99,Sale ends in 23 hours
Braveland Trilogy,-75%,Matches previous low,$14.99,$3.74,Sale ends November 9
Jet Kave Adventure,-33%,Matches previous low,$19.99,$13.39,Sale ends November 2
The Princess Guide,-16%,[],$39.99,$33.49,[]
Sunless Sea: Zubmariner Edition,-35%,[],$19.99,$12.99,Sale ends November 4
STAR WARS Episode I Racer,-50%,Lowest price ever,$14.99,$7.49,Sale ends November 3
Everspace - Stellar Edition,-50%,[],$39.99,$19.93,[]
Battle Princess Madelyn Royal Edition,-75%,Lowest price ever,$14.99,$3.74,Sale ends November 9
Urban Flow Extended Edition,-60%,Lowest price ever,$16.99,$6.79,Sale ends November 13
Mortal Kombat 11: Aftermath Expansion,-40%,Matches previous low,$39.99,$23.99,Sale ends November 2
G.I. Joe: Operation Blackout,-15%,Lowest price ever,$39.99,$33.88,[]
Agent A: A puzzle in disguise,-90%,[],$19.99,$1.99,Sale ends November 13
Shikhondo - Soul Eater,-70%,Matches previous low,$13.99,$4.19,Sale ends November 4
Outlast: Bundle of Terror,-75%,Matches previous low,$24.99,$6.24,Sale ends November 7
Speed Dating for Ghosts,-70%,Lowest price ever,$6.99,$2.09,Sale ends November 1
Call of Juarez: Gunslinger,-40%,[],$19.99,$11.99,Sale ends November 3
Joy-Con (L/R) – Neon Red/Neon Blue,-14%,[],$79.99,$69.00,[]
DragonFangZ - The Rose & Dungeon of Time,-50%,Matches previous low,$24.99,$12.49,Sale ends November 6
Goodbye Deponia,-75%,Lowest price ever,$19.99,$4.99,Sale ends November 11
